ID,date,No,SiO2,Al2O3,TiO2,FeO,MnO,MgO,CaO,K2O,Na2O,Cr2O3,NiO,Total,Phase,pos,comment,distanse,radius,x,Fe_Mg,Mg#,stage,cordinate
595,2013_0815,9,57.434,2.104,0,6.986,0.163,32.517,1.172,0,0,0.374,0.079,100.829,opx,8,2013_0815_1002-9-1C-OpxOl-1,16,0,0,0.120579176,89.23956663,3.5,r
596,2013_0815,11,54.645,4.897,0,8.067,0.179,30.294,1.81,0,0,0.158,0.073,100.123,opx,10,2013_0815_1002-9-1C-OpxOl-1,20,4,0.000004,0.14945472,86.99777229,3.5,r
597,2013_0815,13,54.29,5.508,0,8.877,0.195,29.393,1.854,0,0,0.139,0.064,100.32,opx,12,2013_0815_1002-9-1C-OpxOl-1,24,8,0.000008,0.169502655,85.50643265,4.5,r
598,2013_0815,15,54.296,5.61,0,9.216,0.19,29.676,1.945,0,0,0.142,0.06,101.135,opx,14,2013_0815_1002-9-1C-OpxOl-1,28,12,0.000012,0.174297558,85.15729194,4.5,r
599,2013_0815,17,53.438,5.618,0,9.02,0.204,29.727,1.853,0,0,0.133,0.058,100.051,opx,16,2013_0815_1002-9-1C-OpxOl-1,32,16,0.000016,0.170298042,85.44831866,4.5,r
600,2013_0815,19,53.282,5.628,0,9.144,0.194,29.461,1.802,0,0,0.125,0.052,99.688,opx,18,2013_0815_1002-9-1C-OpxOl-1,36,20,0.00002,0.174197907,85.16451902,4.5,r
601,2013_0815,21,53.097,5.625,0,8.925,0.177,29.755,1.714,0,0,0.127,0.056,99.476,opx,20,2013_0815_1002-9-1C-OpxOl-1,40,24,0.000024,0.168345871,85.59109289,4.5,r
602,2013_0815,22,53.203,5.645,0,8.987,0.193,29.713,1.75,0,0,0.13,0.052,99.673,opx,21,2013_0815_1002-9-1C-OpxOl-1,42,26,0.000026,0.169754947,85.4879907,4.5,r
603,2013_0815,23,53.053,5.757,0,9.293,0.208,29.402,1.819,0,0,0.124,0.056,99.712,opx,22,2013_0815_1002-9-1C-OpxOl-1,44,28,0.000028,0.177391687,84.93350268,4.5,r
604,2013_0815,24,53.248,5.858,0,9.198,0.211,29.555,1.848,0,0,0.125,0.057,100.1,opx,23,2013_0815_1002-9-1C-OpxOl-1,46,30,0.00003,0.174669325,85.13034085,4.5,r
605,2013_0815,25,53.524,5.912,0,8.703,0.207,29.551,1.824,0,0,0.127,0.062,99.91,opx,24,2013_0815_1002-9-1C-OpxOl-1,48,32,0.000032,0.165291683,85.81542413,4.5,r
606,2013_0815,26,52.506,5.99,0,8.55,0.189,30.011,1.848,0,0,0.13,0.051,99.275,opx,25,2013_0815_1002-9-1C-OpxOl-1,50,34,0.000034,0.159896828,86.21456461,4.5,r
607,2013_0815,27,52.595,6.003,0,8.546,0.181,30.087,1.842,0,0,0.141,0.074,99.469,opx,26,2013_0815_1002-9-1C-OpxOl-1,52,36,0.000036,0.159418311,86.25014725,4.5,r
608,2013_0815,28,54.246,4.376,0,8.018,0.188,31.209,1.483,0,0,0.293,0.07,99.883,opx,27,2013_0815_1002-9-1C-OpxOl-1,54,38,0.000038,0.144191745,87.39793869,4.5,r
609,2013_0815,29,55.722,2.265,0,7.466,0.142,32.59,1.117,0,0,0.351,0.07,99.723,opx,28,2013_0815_1002-9-1C-OpxOl-1,56,40,0.00004,0.128575382,88.6072845,4.5,r
610,2013_0815,30,55.363,2.13,0,6.973,0.149,33.15,1.174,0,0,0.407,0.076,99.422,opx,29,2013_0815_1002-9-1C-OpxOl-1,58,42,0.000042,0.118056617,89.44090892,5,r
611,2013_0815,31,55.692,2.119,0,6.586,0.147,32.996,1.173,0,0,0.424,0.076,99.213,opx,30,2013_0815_1002-9-1C-OpxOl-1,60,44,0.000044,0.112024917,89.92604254,5,r
612,2013_0815,32,55.788,2.179,0,6.551,0.152,33.178,1.178,0,0,0.436,0.072,99.534,opx,31,2013_0815_1002-9-1C-OpxOl-1,62,46,0.000046,0.110818329,90.02372162,5,r
613,2013_0815,33,55.749,2.442,0,6.626,0.126,32.857,1.279,0,0,0.482,0.082,99.643,opx,32,2013_0815_1002-9-1C-OpxOl-1,64,48,0.000048,0.113182094,89.83256249,5,r
614,2013_0815,34,55.211,2.411,0,6.683,0.133,32.958,1.216,0,0,0.476,0.073,99.161,opx,33,2013_0815_1002-9-1C-OpxOl-1,66,50,0.00005,0.113805909,89.7822495,5,r
615,2013_0815,35,54.973,2.477,0,6.675,0.128,32.462,1.255,0,0,0.453,0.068,98.491,opx,34,2013_0815_1002-9-1C-OpxOl-1,68,52,0.000052,0.11540648,89.65341493,5,r
616,2013_0815,36,54.393,2.432,0,6.852,0.15,32.476,1.27,0,0,0.439,0.067,98.079,opx,35,2013_0815_1002-9-1C-OpxOl-1,70,54,0.000054,0.118415628,89.4121984,5,r
