ID,date,No,SiO2,Al2O3,TiO2,FeO,MnO,MgO,CaO,K2O,Na2O,Cr2O3,NiO,Total,Phase,pos,comment,distanse,radius,x,Fe_Mg,Mg#,stage,cordinate
390,2013_0727,141,57.208,1.834,0,5.866,0.111,33.661,0.966,0,0,0.381,0.078,100.105,opx,140,1002-9-1C-1_Line1,280,0,0,0.097806844,91.09070559,1,r
391,2013_0727,142,56.621,1.832,0,5.69,0.126,33.575,1.017,0,0,0.39,0.077,99.328,opx,141,1002-9-1C-1_Line1,282,2,0.000002,0.095115314,91.31458463,1,r
392,2013_0727,143,57.126,1.827,0,5.851,0.124,33.874,1.017,0,0,0.386,0.078,100.283,opx,142,1002-9-1C-1_Line1,284,4,0.000004,0.096943303,91.1624144,1,r
393,2013_0727,144,56.915,1.819,0,5.727,0.12,33.365,1.017,0,0,0.391,0.08,99.434,opx,143,1002-9-1C-1_Line1,286,6,0.000006,0.096336365,91.21288249,1,r
394,2013_0727,145,56.915,1.841,0,5.861,0.139,33.595,1,0,0,0.385,0.079,99.815,opx,144,1002-9-1C-1_Line1,288,8,0.000008,0.097915462,91.0816939,1,r
395,2013_0727,146,56.916,1.82,0,5.752,0.162,33.919,1.074,0,0,0.397,0.067,100.107,opx,145,1002-9-1C-1_Line1,290,10,0.00001,0.095176567,91.30947738,1,r
396,2013_0727,147,57.392,1.858,0,5.919,0.146,33.51,0.995,0,0,0.389,0.082,100.291,opx,146,1002-9-1C-1_Line1,292,12,0.000012,0.099135251,90.98061397,1,r
397,2013_0727,148,57.113,1.893,0,5.785,0.144,33.532,1.037,0,0,0.39,0.076,99.97,opx,147,1002-9-1C-1_Line1,294,14,0.000014,0.096827363,91.17205073,1,r
398,2013_0727,149,56.498,2.001,0,5.898,0.138,33.483,1.132,0,0,0.403,0.086,99.639,opx,148,1002-9-1C-1_Line1,296,16,0.000016,0.098863187,91.00313962,1,r
399,2013_0727,150,56.915,1.954,0,5.913,0.147,33.373,1.149,0,0,0.393,0.074,99.918,opx,149,1002-9-1C-1_Line1,298,18,0.000018,0.099441308,90.95528722,1,r
400,2013_0727,151,56.899,1.898,0,6.096,0.147,33.321,1.13,0,0,0.384,0.058,99.933,opx,150,1002-9-1C-1_Line1,300,20,0.00002,0.102678882,90.68823356,1,r
