No.,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Cr2O3,NiO,Total,Fe_Mg,Mg#,phase,position,x
237,55.909,0.083,1.813,5.274,0.143,33.64,1.055,0.401,0.075,98.393,0.087991017,91.91252356,opx,149,0.000002
239,55.829,0.093,1.847,5.453,0.124,33.799,1.024,0.396,0.082,98.647,0.090549456,91.69689594,opx,151,0.000006
241,55.567,0.095,1.818,5.326,0.134,33.516,1.03,0.396,0.077,97.959,0.089187334,91.81157081,opx,153,0.00001
243,55.535,0.093,1.818,5.458,0.141,33.712,1.065,0.387,0.077,98.286,0.090866377,91.67025595,opx,155,0.000014
245,55.659,0.091,1.799,5.565,0.134,33.552,1.087,0.393,0.08,98.36,0.093089555,91.48381258,opx,157,0.000018
247,55.734,0.093,1.823,5.521,0.134,33.852,1.03,0.385,0.081,98.653,0.09153509,91.61409549,opx,159,0.000022
249,55.462,0.1,1.866,5.86,0.151,33.811,1.034,0.358,0.06,98.702,0.097273334,91.1349952,opx,161,0.000026
251,55.393,0.108,1.91,6.278,0.183,33.22,1.029,0.288,0.049,98.458,0.106065925,90.41052414,opx,163,0.00003
253,55.562,0.101,1.841,6.369,0.155,33.328,1.073,0.263,0.043,98.735,0.107254666,90.31345999,opx,165,0.000034
255,55.49,0.118,1.941,6.515,0.17,33.101,1.098,0.255,0.032,98.72,0.110465714,90.05230752,opx,167,0.000038
257,55.606,0.094,1.741,6.535,0.174,32.988,1.228,0.252,0.038,98.656,0.111184387,89.99406505,opx,169,0.000042
259,54.966,0.106,2.21,6.711,0.161,32.717,1.195,0.306,0.031,98.403,0.115124555,89.67608107,opx,171,0.000046
261,55.139,0.112,2.366,6.649,0.173,32.726,1.145,0.312,0.029,98.651,0.114029602,89.76422158,opx,173,0.00005
263,55.043,0.109,2.273,6.51,0.17,33.024,1.089,0.301,0.039,98.558,0.110638305,90.03831362,opx,175,0.000054
265,55.369,0.117,2.096,6.382,0.157,32.873,1.111,0.279,0.047,98.431,0.108961145,90.17448485,opx,177,0.000058
267,55.126,0.1,2.2,6.138,0.152,33.017,1.194,0.319,0.044,98.29,0.104338232,90.55196776,opx,179,0.000062
269,55.376,0.107,2.184,6.176,0.159,32.961,1.196,0.312,0.046,98.517,0.10516255,90.48442694,opx,181,0.000066
273,55.953,0.097,2.136,6.327,0.148,32.819,1.161,0.304,0.032,98.977,0.108199858,90.23643099,opx,185,0.000074
275,55.491,0.113,2.012,6.255,0.152,32.91,1.17,0.295,0.037,98.435,0.106672784,90.36094626,opx,187,0.000078
277,55.753,0.109,1.99,6.075,0.14,33.015,1.151,0.3,0.042,98.575,0.103273568,90.63935086,opx,189,0.000082
279,55.608,0.097,1.864,5.876,0.144,33.081,1.063,0.31,0.043,98.086,0.099691323,90.9346086,opx,191,0.000086
281,55.781,0.081,1.954,5.793,0.133,33.272,1.062,0.412,0.078,98.566,0.097718957,91.09799863,opx,193,0.00009
283,55.322,0.099,1.942,5.587,0.149,33.414,1.114,0.411,0.077,98.115,0.093843545,91.42075254,opx,195,0.000094
285,55.287,0.082,1.956,5.538,0.133,33.499,1.062,0.418,0.086,98.061,0.092784474,91.50935286,opx,197,0.000098
287,55.787,0.092,1.941,5.527,0.136,33.447,1.074,0.426,0.078,98.508,0.092744143,91.51273023,opx,199,0.000102
289,55.409,0.088,1.96,5.679,0.127,33.611,1.062,0.414,0.081,98.431,0.094829756,91.33840163,opx,201,0.000106
290,55.4,0.087,1.955,5.514,0.135,33.648,1.071,0.42,0.091,98.321,0.091973287,91.57733181,opx,202,0.000108
291,55.241,0.098,1.936,5.508,0.125,33.461,1.044,0.416,0.088,97.917,0.092386649,91.54267867,opx,203,0.00011
292,55.374,0.078,1.919,5.316,0.128,33.421,1.029,0.411,0.073,97.749,0.089272918,91.80435713,opx,204,0.000112
293,55.568,0.095,1.93,5.521,0.13,33.637,1.041,0.415,0.076,98.413,0.092120162,91.56501593,opx,205,0.000114
